"Edge","State","Street Address","City","Province","Postal Code","Longitude","Latitude"
"108092","CONNECTED","206 Keefer Street","Vancouver","BC","V6A 2V3","-123.099213","49.279339"
"107516","CONNECTED","3690 Johnston Road","Port Alberni","BC","V9Y 5N7","-124.788841","49.2654"
"101685","CONNECTED","1 - 1220 Brant St","Burlington","ON","L7P 1X8","-79.825462","43.342964"
"102176","CONNECTED","1447 Lakeshore Rd
On The Run Convenience Store","Burlington","ON","L7A 1B3","-79.797508","43.323738"
"101387","CONNECTED","610 West St","Brantford","ON","N3R 6M7","-80.248207","43.170643"
"100008","CONNECTED","84 King George Road","Brantford","ON","N3R5J9","-80.274101","43.166103"
"101004","CONNECTED","84 Lynden Rd Unit E13 Lynden Mall","Brantford","ON","N3R 6B8","-80.242485","43.172729"
"103104","CONNECTED","1135 boul. Cure-Labelle","Blainville","QC","J7C 2N2","-73.889694","45.67931"
"103242","CONNECTED","13935, rue St-Simon","Mirabel","QC","J7N1P4","-74.095551","45.705395"
"103592","CONNECTED","617 Boul de l'Industrie","Joliette","QC","J0K 3E0","-73.45842","45.995701"
"102103","CONNECTED","2681 Sunridge Way NE","Calgary","AB","T1Y 7K7","-114.000809","51.072556"
"102274","CONNECTED","17535 ch. Charles RR123","Mirabel","QC","J7J 1P3","-73.936333","45.695415"
"102709","CONNECTED","2616 39th Ave. NE","Calgary","AB","T1Y 7J9","-114.000114","51.089146"
"103657","CONNECTED","101 Joseph Arthur boulevard","Joliette","QC","J6E 4M4","-73.423935","46.021309"
"105593","CONNECTED","9900 Sherbrooke Est.","Montreal","QC","H1L 6N2","-73.522789","45.617138"
"100805","CONNECTED","3502 Hastings St E","Vancouver","BC","V5K 2A7","-123.02784","49.280785"
"104279","CONNECTED","2680 Blanshard St
unit 3","Victoria","BC","V8T 5E1","-123.364243","48.438118"
"105239","CONNECTED","487 Interurban Way
Marine Gateway","Vancouver","BC","n/a","-123.116623","49.20929"
"105885","CONNECTED","3451 Kingsway","Vancouver","BC","V5R5L3","-123.031204","49.232201"
"107653","CONNECTED","5698 Victoria Dr","Vancouver","BC","V5P 3W4","-123.065353","49.23296"
"103258","CONNECTED","760 Johnson Street
Unit 106","Victoria","BC","V8W 2J2","-123.362373","48.427097"
"103267","CONNECTED","1635 Commerical Drive","Vancouver","BC","V5l 3Y3","-123.06987","49.270069"
"103280","CONNECTED","3147 Douglas Street
(Mayfair Shopping Centre)#280","Victoria","BC","V8Z6E3","-123.37001","48.446861"
"107387","CONNECTED","5896 Fraser Street","Vancouver","BC","V5W 2Z5","-123.090385","49.231125"
"108449","CONNECTED","754 Fort St
Unit 101","Victoria","BC","V8W 1H2","-123.363831","48.424618"
"100526","CONNECTED","4033 New St","Burlington","ON","L7L 1S8","-79.768997","43.354"
"100141","CONNECTED","2700 rue Ontario Est","Montreal","QC","H2K 1W9","-73.551384","45.534527"
"102079","CONNECTED","2215 Erin Mills Pkwy","Mississauga","ON","L5K 1T7","-79.652832","43.528275"
"103266","CONNECTED","50 Market Street S","Brantford","ON","N3S 2E3","-80.261551","43.13586"
"104321","CONNECTED","515 Steeles Ave W","Brampton","ON","L6Y4E7","-79.744041","43.655621"
"105766","CONNECTED","7965 Financial Drive","Brampton","ON","L6Y 5P4","-79.769539","43.632042"
"106914","CONNECTED","445 Eglinton Ave East
Rabba Fine Foods","Mississauga","ON","L4Z 3L4","-79.643234","43.616425"
"100546","CONNECTED","1341 32  Ave NE","Calgary","AB","T2E 7Z5","-114.026779","51.081371"
"106477","CONNECTED","2550 COUNTRY HILLS BLVD NE
200","Calgary","AB","T3N 1A6","-113.999863","51.154758"
"103060","CONNECTED","1240 Burloak Dr.","Burlington","ON","L7L 3X5","-79.765083","43.400269"
"107680","CONNECTED","2839 East Hastings St","Vancouver","BC","V5K 2A1 ?","-123.046097","49.281303"
"102337","CONNECTED","8310 McCowan Rd","Markham","ON","L3P 8E1","-79.284348","43.864819"
"100085","CONNECTED","1375 Southdown Rd","Mississauga","ON","L5J 2Z1","-79.639244","43.519421"
"100646","CONNECTED","444 58 Ave SE","Calgary","AB","T2H 0P4","-114.053963","51.001431"
"100737","CONNECTED","31 - 5353 Lakeshore Rd","Burlington","ON","L7L 1C8","-79.732712","43.368324"
"101362","CONNECTED","5014 Dixie Rd","Mississauga","ON","L4W 1C9","-79.621765","43.635647"
"101436","CONNECTED","2081 rue Guy","Montreal","QC","H3H 2L9","-73.579674","45.496071"
"101869","CONNECTED","6565 Hwy 7","Markham","ON","L3P 3B4","-79.239799","43.878616"
"102015","CONNECTED","155 Lynden Rd","Brantford","ON","N3T 5L8","-80.235001","43.175419"
"102505","CONNECTED","1989 Appleby Line","Burlington","ON","L7L 6K3","-79.789299","43.393646"
"103020","CONNECTED","90 Clementine Drive","Brampton","ON","L6Y 5M3","-79.753906","43.645817"
"103122","CONNECTED","9800 Chinguacousy Rd","Brampton","ON","L6X 5E9","-79.802315","43.681801"
"107336","CONNECTED","2889 12th Ave East
unit 107","Vancouver","BC","V5M4T5","-123.044655","49.259418"
"100261","CONNECTED","3501 Ravine Way","Victoria","BC","V8X 4Z1","-123.376144","48.457462"
"100196","CONNECTED","141 Leonidas St","Rimouski","QC","G5L 7Y3","-68.51004","48.462467"
"104670","CONNECTED","433 St Germain St.","Rimouski","QC","G5L 3N8","-68.550247","48.438629"
"105385","CONNECTED","5995 Major MacKenzie Drive East","Markham","ON","L6E 0G1","-79.268547","43.909542"
"100474","CONNECTED","7502 Trafalgar Rd RR 1","Hornby","ON","L0P 1E0","-79.825996","43.568001"
"106955","CONNECTED","381 Church Street
Room A2642","Markham","ON","L3P 7P3","-79.231674","43.883678"
"100069","CONNECTED","447 Rothesay Ave","Saint John","NB","E2J 2C3","-66.032219","45.306862"
"100437","CONNECTED","519 Westmorland Rd
McAllister Place","Saint John","NB","E2J 3W9","-66.01564","45.306763"
"101672","CONNECTED","4011 Dixie Rd","Mississauga","ON","L4W 1M3","-79.602997","43.623001"
"101852","CONNECTED","7950 boul. Henri-Bourassa Est","Montreal","QC","H1E 1P2","-73.582397","45.624657"
"102262","CONNECTED","100 - 723 46 Ave SE","Calgary","AB","T2G 2A4","-114.047783","51.010509"
"101121","CONNECTED","222 Bayside Drive","Saint John","NB","E2J 5C1","-66.037483","45.280663"
"107435","CONNECTED","25238 Township Road 254A","Calgary","AB","T3L 2P9","-114.278999","51.154999"
"100494","CONNECTED","224 Conception Hwy
Unit 220","Bay Roberts","NL","A0A 1G0","-53.282837","47.578266"
"100915","CONNECTED","1100 Loch Lomond Rd","Saint John","NB","E2J 1Z6","-65.997711","45.301838"
"101392","CONNECTED","72 Manitoba Dr","Clarenville","NL","A5A 1K6","-53.983002","48.162998"
"101744","CONNECTED","147 McAllister Dr
Exhibition Plaza","Saint John","NB","E2J 2S6","-66.017624","45.311867"
"102269","CONNECTED","102 Columbus Dr","Carbonear","NL","A1Y 1A6","-53.241238","47.724346"
"104524","CONNECTED","120 Trans-Canada Highway","Clarenville","NL","A5A 1Y3","-53.956001","48.145"
"105541","CONNECTED","80 L.T. Stick Drive","Bay Roberts","NL","A0A 3V0","-53.2994","47.568928"
"102203","CONNECTED","367 Montee Industrielle-et-Commerciale","Rimouski","QC","G5M 1Y1","-68.497009","48.457405"
"103231","CONNECTED","306, rue Arthur-Buies Ouest","Rimouski","QC","G5L 0B3","-68.521492","48.433029"
"107591","CONNECTED","892 Hwy 54","Brantford","ON","N3T 5L9","-80.10778","43.112465"
"100255","CONNECTED","2460 rue Dandurand","Montreal","QC","H2G 2A3","-73.580933","45.543869"
"103115","CONNECTED","2100 Bovaird Dr. E,
William Osler Health Centre, Emergency","Brampton","ON","L6T 3S1","-79.739563","43.749184"
"103384","CONNECTED","306 Terminal Ave","Vancouver","BC","V6A 3W9","-123.09771","49.27211"
"108494","CONNECTED","612 SANTA MARIA BOULEVARD","Milton","ON","L9T 7H6","-79.86499","43.502621"
"104098","CONNECTED","433 Steeles Avenue","Milton","ON","L9T 1Y6","-79.889267","43.526787"
"105066","CONNECTED","5085 Mayfield","Brampton","ON","L6R 3S9","-79.77906","43.772888"
"106040","CONNECTED","1100 Boulevard Maloney Ouest
Unit #901","Gatineau","QC","J8T 6G3","-75.697289","45.475655"
"103740","CONNECTED","3550 rue Galt ouest","Sherbrooke","QC","J1H 0A5","-71.953094","45.375702"
"103903","CONNECTED","3100 Henri-L-Chevrette","St-Felix-de-Valois","QC","J0K 2M0","-73.440575","46.166809"
"104372","CONNECTED","4841 Yonge St","North York","ON","M2N5X2","-79.41053","43.762508"
"105786","CONNECTED","39977 Blyth Rd.","Blyth","ON","N0M 1H0","-81.434212","43.731102"
"106105","CONNECTED","7205 Goreway Drive
Westwood Mall - BLNG H","Mississauga","ON","L4T 2T9","-79.637207","43.719025"
"102305","CONNECTED","865 Broadway W","Vancouver","BC","V5Z 1J9","-123.123398","49.263535"
"105517","CONNECTED","2225 41st Ave W","Vancouver","BC","V6M 2A3","-123.158234","49.234756"
"105884","CONNECTED","490 Hornby St","Vancouver","BC","V6B 3B2","-123.115997","49.285999"
"107535","CONNECTED","818 West 6th Street","Vancouver","BC","V5Z 1A6","-123.122421","49.265804"
"108430","CONNECTED","6501 Main St.
Alt Residential Apt Add: 188 E 49th Ave","Vancouver","BC","V5X 3H1","-123.101631","49.225662"
"100721","CONNECTED","456A Gorge Rd E","Victoria","BC","V8T 2W4","-123.373589","48.441132"
"101224","CONNECTED","1205 Burrard St","Vancouver","BC","V6Z 1Z5","-123.129807","49.279095"
"102467","CONNECTED","1055 West Georgia St
Unit 118","Vancouver","BC","V6E 3P3","-123.121552","49.285393"
"102619","CONNECTED","1644 Hillside Ave  Unit #201","Victoria","BC","V8T 2C5","-123.334404","48.445187"
"102807","CONNECTED","947 Hornby Street","Vancouver","BC","V6Z 1V3","-123.124214","49.281059"
"102902","CONNECTED","3112 West Broadway","Vancouver","BC","V6K 2H3","-123.174263","49.26421"
"102946","CONNECTED","100 West 49th Ave  1st fl Cafeteria  Langara College  Academic Building","Vancouver","BC","V5Y 2Z6","-123.107536","49.224594"
"103075","CONNECTED","225 7th Ave SW","Calgary","AB","T2P 2W3","-114.067131","51.046421"
"103161","CONNECTED","1595 West Broadway
101","Vancouver","BC","V6J 1W6","-123.140457","49.26387"
"103276","CONNECTED","7535 75 Street  NW
(Shell - Century)","Edmonton","AB","T6C 4M3","-113.442314","53.511833"
"103351","CONNECTED","106-756 Davie street","Vancouver","BC","V6Z 1B6","-123.120361","49.273037"
"103785","CONNECTED","1323 Centre St. N","Calgary","AB","T2E 2R5","-114.063049","51.064072"
"103943","CONNECTED","240 16th Ave NE.","Calgary","AB","T2E 1J8","-114.057167","51.06728"
"103948","CONNECTED","1055 West Georgia
Unit 2 Royal Centre","Vancouver","BC","V6E 3P1","-123.121254","49.285446"
"104117","CONNECTED","4950 Calgary Trail, NW","Edmonton","AB","T6H 5H5","-113.495819","53.487164"
"105763","CONNECTED","1299 Robson St","Vancouver","BC","V6E 2B3","-123.128304","49.287022"
"105915","CONNECTED","2950 Douglas St","Victoria","BC","V8T 4N4","-123.370201","48.443138"
"106999","CONNECTED","1204 Kensingon Rd","Calgary","AB","T2N 3P5","-114.089058","51.052765"
"107628","CONNECTED","1130 West Pender","Vancouver","BC","V6E 4A4","-123.122002","49.286999"
"107665","CONNECTED","1001 Denman Street","Vancouver","BC","V6G 1W5","-123.138878","49.289375"
"108408","CONNECTED","4065 Cambie St","Vancouver","BC","V5Z 2X9","-123.115654","49.249432"
"108439","CONNECTED","5500 Sunshine Coast Hwy
Unit 401","Sechelt","BC","V0N 3A0","-123.746979","49.474598"
"101256","CONNECTED","378 boul. Greber","Gatineau","QC","J8T 5R6","-75.702026","45.48101"
"101984","CONNECTED","79 Talbot St W","Blenheim","ON","N0P 1A0","-81.999878","42.333851"
"102682","CONNECTED","4120 Dixie Rd","Mississauga","ON","L4W 4V8","-79.606003","43.625"
"100108","CONNECTED","1 Water St E Cornwall Square
Westlynn Shopping Mall","Cornwall","ON","K6H 6M2","-74.724998","45.015999"
"100226","CONNECTED","80 John St S","Hamilton","ON","L8N 2C1","-79.867599","43.253662"
"100611","CONNECTED","240 Leighland Rd Unit FC 1 2nd Floor Oakville Place
Charlottetown Mall","Oakville","ON","L6H 3H6","-79.686462","43.461353"
"100655","CONNECTED","848 Dufferin Ave","Wallaceburg","ON","N8A 2V4","-82.390388","42.593033"
"100755","CONNECTED","159 Lacroix St","Chatham","ON","N7M 2V3","-82.187782","42.397411"
"101520","CONNECTED","6 Mill St, PO Box 577","Tilbury","ON","N0P 2L0","-82.433083","42.263695"
"101560","CONNECTED","33 Third St","Chatham","ON","N7M 2M4","-82.18924","42.404102"
"101647","CONNECTED","8160 Dixie Rd","Brampton","ON","L6T 5N9","-79.710556","43.701637"
"101926","CONNECTED","1530 North Service Rd W","Oakville","ON","L6M 4A1","-79.726273","43.42625"
"101988","CONNECTED","624 Peter Robertson Blvd","Brampton","ON","L6R 1T5","-79.759003","43.738998"
"102068","CONNECTED","900 Steeles Ave E Unit A","Milton","ON","L9T 5M6","-79.877968","43.535748"
"102104","CONNECTED","1530 Aimco Blvd","Mississauga","ON","L4W 5K1","-79.622574","43.63929"
"102229","CONNECTED","5099 Creekbank Rd
Bell Mobility","Mississauga","ON","L4W 5N2","-79.613174","43.643795"
"102582","CONNECTED","334 Bloor St W","Toronto","ON","M5S 1W9","-79.404373","43.666679"
"102706","CONNECTED","1801 Dundas Street East","Mississauga","ON","L4X 1L6","-79.574699","43.618538"
"102756","CONNECTED","4720 Tahoe Blvd
TD Bank c/o Sodexo, G/F at Bldg 2","Mississauga","ON","L4W 5P2","-79.608536","43.641121"
"103401","CONNECTED","95 Father Tobin Blvd","Brampton","ON","L6R 3K2","-79.755775","43.771175"
"103599","CONNECTED","6941 Derry Road
Building B","Milton","ON","L9T 6Z5","-79.874336","43.497337"
"103755","CONNECTED","301 Calonnade Dr.","Kemptville","ON","K0G 1J0","-75.633766","45.030296"
"104008","CONNECTED","4495 Major Mackenzie Drive
Building A","Markham","ON","L6C 1K4","-79.320877","43.897179"
"105599","CONNECTED","35 Cherrycrest Crescent Drive","Brampton","ON","L6P 0S2","-79.669327","43.763874"
"106864","CONNECTED","6125 Monk","Montreal","QC","H4E 3H5","-73.595589","45.457008"
"107667","CONNECTED","400 boulevard St-Luc,","Asbestos","QC","J1T 2W2","-71.938522","45.780834"
"108096","CONNECTED","6340 Silver Dart Drive
NEW KIOSK: Central Vehicle Holding Area Building - GTAA Pearson Airport","Mississauga","ON","L4V 1B2","-79.606529","43.68364"
"108418","CONNECTED","141 Saint Gabriel Rue","St-Gabriel-de-Brandon","QC","J0K 2N0","-73.380951","46.291519"
"102164","CONNECTED","4015 Centre St NW","Calgary","AB","T2E 3A7","-114.062813","51.08847"
"103578","CONNECTED","463 Robson Street","Vancouver","BC","V6B 6L9","-123.121803","49.282681"
"103776","CONNECTED","1715 - 70th Street SE","Calgary","AB","T1X 0L4","-113.93","51.037998"
"101042","CONNECTED","303 Broadway Ave","Kincardine","ON","N2Z 2X9","-81.630997","44.181999"
"100316","CONNECTED","386 Iroquois Shore Rd","Oakville","ON","L6H 1M4","-79.684372","43.465065"
"100375","CONNECTED","799 Dundas St E","Mississauga","ON","L4Y 2B7","-79.598045","43.597073"
"100971","CONNECTED","7010 Woodbine Ave","Markham","ON","L3R 1A2","-79.349266","43.814278"
"102267","CONNECTED","1900 Walkers Line","Burlington","ON","L7R 3X5","-79.805702","43.378227"
"102434","CONNECTED","1 Rideaucrest Dr","Nepean","ON","K2G 6A4","-75.723","45.285"
"103120","CONNECTED","1515 Main Street East R. R. #6 On The Run Convenience Store","Milton","ON","L9T 0W2","-79.877403","43.518299"
"103349","CONNECTED","106- 117 Spadina Avenue","Toronto","ON","M5V 2L1","-79.395866","43.646561"
"102754","CONNECTED","200 5th Ave S.W.
100","Calgary","AB","T2P 2Y7","-114.065308","51.048439"
"103591","CONNECTED","1000 Legendre Ouest","Montreal","QC","H4N 3L9","-73.652847","45.532967"
"100415","CONNECTED","880 Esquimalt Rd","Victoria","BC","V9A 3M4","-123.399887","48.43095"
"100484","CONNECTED","900 Maple Ave
Mapleview Mall","Burlington","ON","L7S 2J8","-79.818817","43.324486"
"100536","CONNECTED","2851 John St Unit #1
North Bay Mall","Markham","ON","L3R 5R7","-79.352509","43.825081"
"100538","CONNECTED","1280 Finch Ave. W Unit #108","Downsview","ON","M3J 3K6","-79.488571","43.764297"
"100593","CONNECTED","2201 Brant St
Burlington Mall","Burlington","ON","L7P 3N8","-79.843018","43.357117"
"100614","CONNECTED","29 Plains Rd W","Burlington","ON","L7T 1E8","-79.854858","43.306248"
"100648","CONNECTED","25 Rymal Rd W","Hamilton","ON","L9B 1B5","-79.894646","43.202492"
"100665","CONNECTED","425 13 St N","Lethbridge","AB","T1H 2S3","-112.823662","49.705383"
"100816","CONNECTED","2370 Lawrence Ave E","Scarborough","ON","M1P2R5","-79.274002","43.75"
"100861","CONNECTED","1035 Brant St","Burlington","ON","L7R 4X6","-79.817635","43.339504"
"100913","CONNECTED","8501 Hwy 25 N","Milton","ON","L9T 2X7","-79.912308","43.533173"
"100934","CONNECTED","1500 OConnor Dr","East York","ON","M4B 2T8","-79.306328","43.713856"
"101007","CONNECTED","777 Guelph Line
Burlington Mall","Burlington","ON","L7R 3N2","-79.793594","43.348515"
"101273","CONNECTED","152 West Dr","Brampton","ON","L6T 5P1","-79.734138","43.708153"
"101285","CONNECTED","25 Peel Centre Dr","Brampton","ON","L6T 3R5","-79.72348","43.715317"
"101331","CONNECTED","4060 Carling Ave","Kanata","ON","K2K 1Y1","-75.908646","45.338062"
"101454","CONNECTED","1230 North Shore Blvd
Joseph Brant Hospital","Burlington","ON","L7R 4C4","-79.802673","43.317024"
"101474","CONNECTED","11005 Yonge St","Richmond Hill","ON","L4C 0K7","-79.442314","43.896198"
"101490","CONNECTED","666 5 St SW
Palliser Health Authority","Medicine Hat","AB","T1A 4H6","-110.703857","50.035606"
"101525","CONNECTED","2963 Queen St E","Brampton","ON","L6T 5J1","-79.695999","43.743"
"101666","CONNECTED","3650 Derry Rd","Mississauga","ON","L4T 3V7","-79.628494","43.715347"
"101709","CONNECTED","26 Overlea Blvd","East York","ON","M4H 1A4","-79.350533","43.70517"
"101748","CONNECTED","6495 rue St-Jacques","Montreal","QC","H4B 1V1","-73.623001","45.462002"
"101825","CONNECTED","20 Great Lakes Dr","Brampton","ON","L6R 2K7","-79.762596","43.731121"
"101886","CONNECTED","5051 Harvester Rd","Burlington","ON","L7L 6S1","-79.76693","43.379135"
"101957","CONNECTED","15 Bovaird Dr","Brampton","ON","L6V 1A1","-79.786736","43.705799"
"102033","CONNECTED","35 Peel Centre Dr Bramalea City Centre","Brampton","ON","L6T 3R5","-79.720825","43.715858"
"102057","CONNECTED","3990 Shelbourne St","Victoria","BC","V8N 3E2","-123.333008","48.472027"
"102121","CONNECTED","370 Steeles Ave W Unit 1","Thornhill","ON","L4J 6X1","-79.433495","43.796074"
"102206","CONNECTED","117A - 4819 av. Van Horne","Montreal","QC","H3W 1J2","-73.638206","45.493938"
"102224","CONNECTED","246 Bloor St W","Toronto","ON","M5S 1V4","-79.397652","43.668102"
"102268","CONNECTED","7001 Woodbine Ave
On The Run Convenience Store","Markham","ON","L3R 1A3","-79.348343","43.814716"
"102333","CONNECTED","1871 Avenue Rd On The Run Convenience Store","North York","ON","M5M 3Z7","-79.412827","43.767555"
"102405","CONNECTED","607 Dunsmuir St","Vancouver","BC","V6B 1Y7","-123.115814","49.283241"
"102412","CONNECTED","6788 Regional Road 25","Milton","ON","L9T 2X5","-79.861481","43.505875"
"102462","CONNECTED","2971 Walkers Line","Burlington","ON","L7R 3X4","-79.823448","43.39217"
"102523","CONNECTED","5000 Hwy 7 E
Second Level","Markham","ON","L3R 4M9","-79.288002","43.868"
"102536","CONNECTED","1170 Guelph Line","Burlington","ON","L7P 2S9","-79.810036","43.356152"
"102565","CONNECTED","8801 Woodbine Ave","Markham","ON","L3R 5W9","-79.359734","43.85675"
"102602","CONNECTED","2890 Steeles Ave E Shops on Steeles","Markham","ON","L3T 4X1","-79.359505","43.811852"
"102717","CONNECTED","2160 boul. D?carie","Montreal","QC","H4A 3J3","-73.608696","45.474236"
"102778","CONNECTED","6500 Cote St-Luc","Montreal","QC","H4V 1G2","-73.647758","45.471172"
"102813","CONNECTED","7330 Markham Road","Markham","ON","L3S 4V7","-79.253639","43.845177"
"102828","CONNECTED","5955 Leslie Street","Toronto","ON","M2H 1J8","-79.369652","43.798912"
"102841","CONNECTED","5095 Queen Mary","Montreal","QC","H3W 1X4","-73.627808","45.485653"
"102855","CONNECTED","120 Chestermere Station Way
unit 300","Chestermere","AB","T1X 1V3","-113.823242","51.050537"
"102867","CONNECTED","555 Hastings Street West
Unit 6","Vancouver","BC","V6B 5K3","-123.111938","49.284698"
"102887","CONNECTED","409 41st Street","Lethbridge","AB","T1J 0P6","-112.781227","49.69199"
"102915","CONNECTED","115 Times Avenue","Markham","ON","L3T 0A2","-79.390381","43.842167"
"102921","CONNECTED","3749 Shelbourne Street","Victoria","BC","V8P 5N4","-123.332169","48.461277"
